lotes_urbanos.codigo_ibge_municipio,lotes_urbanos.codigo_cartografico,lotes_urbanos.geometria,lotes_urbanos.area,testada_m,profundidade_m,Adjacente
4104501,01.06.004.1.0014.02AA,"MULTIPOLYGON(((-53.810542432389546 -25.6565137695506,-53.81048956741068 -25.656339819446163,-53.8103696141357 -25.65636976548908,-53.810422478962344 -25.656543715649807,-53.810542432389546 -25.6565137695506)))",250.0000,12.48,20.06,
4104501,01.03.002.3.0054.0800,"MULTIPOLYGON(((-53.80234488174825 -25.680698435628713,-53.80229201412081 -25.680524482953125,-53.80210004664842 -25.680572389152033,-53.80190807899845 -25.680620295110337,-53.80181209510689 -25.680644247999332,-53.80186496212448 -25.680818200900532,-53.80196094613802 -25.680794247966432,-53.80215291403192 -25.680746341917825,-53.80234488174825 -25.680698435628713)))",1000.0000,19.96,49.90,
4104501,01.02.002.0.0033.0100,"MULTIPOLYGON(((-53.80556014505775 -25.676573310839792,-53.80550727530531 -25.67639935948299,-53.80527692412458 -25.676456851215406,-53.805329793584384 -25.6766308026804,-53.80556014505775 -25.676573310839792)))",480.0000,20.06,23.95,
4104501,01.03.002.3.0054.020A,"MULTIPOLYGON(((-53.80152414316584 -25.680716106305553,-53.801484493293614 -25.680585641504813,-53.80129252529392 -25.680633546673985,-53.80133217498318 -25.68076401154238,-53.80152414316584 -25.680716106305553)))",300.0000,15.04,19.96,
4104501,01.02.002.0.0033.0200,"MULTIPOLYGON(((-53.80489788388261 -25.67673859894829,-53.804845014971505 -25.676564647280294,-53.804605065053586 -25.676624533456987,-53.80465793365985 -25.676798485237757,-53.80489788388261 -25.67673859894829)))",500.0000,20.06,24.95,Rua Minas Gerais
4104501,01.03.002.3.0054.1100,"MULTIPOLYGON(((-53.80207989785128 -25.68118564176211,-53.80196094613802 -25.680794247966432,-53.80186496212448 -25.680818200900532,-53.80176897806654 -25.68084215377442,-53.801887929230915 -25.68123354777315,-53.80207989785128 -25.68118564176211)))",900.0000,19.96,45.12,
4104501,01.06.004.1.0014.110A,"MULTIPOLYGON(((-53.81079699144812 -25.657011662567257,-53.810770558609406 -25.656924687595588,-53.81019477996598 -25.657068429053314,-53.81022121243936 -25.657155404160214,-53.810701028390994 -25.65703561964955,-53.81079699144812 -25.657011662567257)))",600.0000,9.98,59.88,
4104501,01.03.002.3.0054.04AA,"MULTIPOLYGON(((-53.80163648501288 -25.68108575646535,-53.8016067473871 -25.680987907909344,-53.80141477882328 -25.681035813287117,-53.801444516311825 -25.681133661893856,-53.80163648501288 -25.68108575646535)))",225.0000,11.28,19.96,
4104501,01.06.004.1.0014.0600,"MULTIPOLYGON(((-53.81084008870616 -25.656813755517852,-53.81081365589529 -25.6567267805509,-53.810787223128784 -25.656639805575022,-53.81073435772889 -25.65646585559659,-53.810681492506575 -25.656291905582464,-53.810585529980806 -25.656315862544385,-53.810744125815056 -25.656837712615012,-53.81084008870616 -25.656813755517852)))",600.0000,9.98,60.17,
4104501,01.06.004.1.0014.0500,"MULTIPOLYGON(((-53.81126703630973 -25.65652001941371,-53.811214170300964 -25.656346069660728,-53.81109421726189 -25.656376016285463,-53.810974264153586 -25.65640596281636,-53.81073435772889 -25.65646585559659,-53.810787223128784 -25.656639805575022,-53.81126703630973 -25.65652001941371)))",1000.0000,20.06,49.90,
4104501,01.06.004.1.0014.0900,"MULTIPOLYGON(((-53.81031798181818 -25.656794380271723,-53.81012605574291 -25.65684229373339,-53.81016834753697 -25.656981453937405,-53.810360273807134 -25.656933540403475,-53.81031798181818 -25.656794380271723)))",320.0000,16.04,19.96,
4104501,01.02.002.0.0033.1200,"MULTIPOLYGON(((-53.80602117425228 -25.677206832222662,-53.80596830347249 -25.677032881125893,-53.80548840302925 -25.67715265686136,-53.80554127319938 -25.677326608183627,-53.80602117425228 -25.677206832222662)))",1000.0000,20.06,49.90,
