"OSM_ID_MUNICIPIO";"COD_PAIS";"OSM_NOM_MUNICIPIO"
242632;"BR";"Riozinho"
242633;"BR";"Garibaldi"
242634;"BR";"Fagundes Varela"
242635;"BR";"Gramado dos Loureiros"
242636;"BR";"Monte Belo do Sul"
242637;"BR";"Vanini"
242638;"BR";"Maratá"
242639;"BR";"Tucunduva"
242640;"BR";"Santo Ângelo"
242641;"BR";"Guabiju"
242642;"BR";"Antônio Prado"
242644;"BR";"Nova Ramada"
242645;"BR";"Arambaré"
242646;"BR";"São José do Inhacorá"
242647;"BR";"Estância Velha"
242648;"BR";"Tuparendi"
242649;"BR";"Santa Maria do Herval"
242650;"BR";"São Pedro da Serra"
242651;"BR";"Colorado"
242652;"BR";"Dois Irmãos"
242653;"BR";"Itacurubi"
242654;"BR";"Encruzilhada do Sul"
242655;"BR";"Seberi"
242656;"BR";"Doutor Ricardo"
242657;"BR";"Barra do Rio Azul"
242658;"BR";"Muliterno"
242659;"BR";"Linha Nova"
242660;"BR";"Santo Augusto"
242661;"BR";"Nova Prata"
242662;"BR";"Itaara"
242663;"BR";"Vespasiano Corrêa"
242664;"BR";"Monte Alegre dos Campos"
242665;"BR";"Tupanciretã"
242666;"BR";"Cachoeira do Sul"
242667;"BR";"Maçambará"
242668;"BR";"União da Serra"
242669;"BR";"Floriano Peixoto"
242670;"BR";"Pinhal da Serra"
242671;"BR";"Miraguaí"
242672;"BR";"Porto Lucena"
242673;"BR";"São Sepé"
242674;"BR";"Ibirapuitã"
242675;"BR";"Paraí"
242676;"BR";"Pinhal"
242677;"BR";"Caseiros"
242678;"BR";"São Pedro das Missões"
242679;"BR";"Putinga"
242680;"BR";"Campina das Missões"
242681;"BR";"Balneário Pinhal"
242682;"BR";"Aceguá"
242683;"BR";"Sarandi"
242684;"BR";"Herveiras"
242685;"BR";"Uruguaiana"
242686;"BR";"Rolador"
242687;"BR";"São Jorge"
242688;"BR";"Estação"
242689;"BR";"Doutor Maurício Cardoso"
242690;"BR";"Roque Gonzales"
242691;"BR";"Eldorado do Sul"
242692;"BR";"Coronel Bicaco"
242693;"BR";"Paim Filho"
242694;"BR";"Nova Hartz"
242695;"BR";"Montenegro"
242696;"BR";"Salvador do Sul"
242697;"BR";"Victor Graeff"
242698;"BR";"Caçapava do Sul"
242699;"BR";"Chuvisca"
242700;"BR";"Capão da Canoa"
242701;"BR";"Quaraí"
242702;"BR";"Colinas"
242703;"BR";"São Paulo das Missões"
242704;"BR";"São José do Sul"
242705;"BR";"Nova Petrópolis"
242706;"BR";"Morro Redondo"
242707;"BR";"Constantina"
242708;"BR";"Condor"
242709;"BR";"Capão Bonito do Sul"
242710;"BR";"Tramandaí"
242711;"BR";"Alvorada"
242712;"BR";"Novo Tiradentes"
242713;"BR";"São José das Missões"
242714;"BR";"Ibiraiaras"
242715;"BR";"Três Passos"
242716;"BR";"Campos Borges"
242717;"BR";"Boa Vista do Buricá"
242718;"BR";"Osório"
242719;"BR";"Santo Antônio da Patrulha"
242720;"BR";"Garruchos"
242721;"BR";"Sagrada Família"
242722;"BR";"Fortaleza dos Valos"
242723;"BR";"Coxilha"
242724;"BR";"Caibaté"
242725;"BR";"Forquetinha"
242726;"BR";"Farroupilha"
242727;"BR";"Rondinha"
242728;"BR";"Ciríaco"
242729;"BR";"Nova Alvorada"
242730;"BR";"Mata"
242731;"BR";"São Vendelino"
242732;"BR";"Sertão Santana"
242733;"BR";"Tupandi"
242734;"BR";"Vila Lângaro"
242735;"BR";"Charrua"
242736;"BR";"Passo do Sobrado"
242737;"BR";"Boa Vista das Missões"
242738;"BR";"Nova Santa Rita"
242739;"BR";"Jacuizinho"
242740;"BR";"Ajuricaba"
242741;"BR";"São José do Herval"
242742;"BR";"São Lourenço do Sul"
242743;"BR";"São Marcos"
242744;"BR";"Imigrante"
242745;"BR";"Anta Gorda"
242746;"BR";"Espumoso"
242747;"BR";"Rolante"
242748;"BR";"Barra do Quaraí"
242749;"BR";"Fontoura Xavier"
242750;"BR";"Campestre da Serra"
242751;"BR";"Selbach"
242752;"BR";"Ernestina"
242753;"BR";"Vila Nova do Sul"
242754;"BR";"Braga"
242755;"BR";"Chuí"
242756;"BR";"Bossoroca"
242757;"BR";"Capão do Cipó"
242758;"BR";"Agudo"
242759;"BR";"Camargo"
242760;"BR";"Lavras do Sul"
242761;"BR";"Tenente Portela"
242762;"BR";"Rio Grande"
242763;"BR";"São Valério do Sul"
242764;"BR";"Estrela Velha"
242765;"BR";"Bom Princípio"
242766;"BR";"Frederico Westphalen"
242767;"BR";"Barra do Guarita"
