codigo_ibge_municipio,_c1,_c2,_c3
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
4118402,01.04.382.0817,963 - ESTRADA RURAL,SN
4118402,01.04.382.0507,962 - PR 561,S/N
4118402,01.03.012.0066,420 - GONCALVES,066
4118402,01.05.034.1968,775 - PARTICULAR FLAMBOYANT,S/N
4118402,04.01.058.0195,504 - MANOEL BENTO GONCALVES,SN
4118402,01.02.381.0281,882 - DAS CARAVELAS,239
4118402,01.02.381.0281,882 - DAS CARAVELAS,245
4118402,01.02.381.0281,882 - DAS CARAVELAS,233
4118402,01.03.114.0091,312 - ROSIL LANGUER ROLIN,298
4118402,01.03.114.0097,312 - ROSIL LANGUER ROLIN,306
4118402,01.03.114.0085,312 - ROSIL LANGUER ROLIN,290
4118402,01.04.069.0137,32 - FELIPE DOS SANTOS,182
4118402,01.06.347.0963,766 - PAULO YOSHIO FUZIZAKI,SN
4118402,01.02.268.0880,426 - BR 376,7455
4118402,01.02.268.0880,426 - BR 376,7455
4118402,01.02.268.0795,426 - BR 376,7525
4118402,01.02.268.0342,439 - JOAQUIM FERREIRA DE SOUZA,S/N
4118402,01.02.268.0406,439 - JOAQUIM FERREIRA DE SOUZA,S/N
4118402,01.02.268.0772,426 - BR 376,7561
4118402,01.01.101.0060,94 - MANOEL RIBAS,322
4118402,02.01.033.0062,494 - PARANAVAI,S/N
4118402,01.02.460.0026,1042 - PROJETADA A - COND RESD PARTHENON,SN
4118402,01.02.475.0090,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0114,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0126,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0138,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0150,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.05.141.0001,916 - PAULINO RECH,S/N
4118402,01.05.115.1550,83 - RIO GRANDE DO SUL,S/N
4118402,01.02.473.0342,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.472.0188,1079 - MARGINAL - JARDIM MILLENIUM I,SN
4118402,01.02.475.0210,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0246,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0298,220 - GUERINO POMIN,SN
4118402,01.02.472.0032,1079 - MARGINAL - JARDIM MILLENIUM I,SN
4118402,01.02.472.0163,1079 - MARGINAL - JARDIM MILLENIUM I,SN
4118402,01.02.472.0225,1079 - MARGINAL - JARDIM MILLENIUM I,SN
4118402,01.02.473.0025,1079 - MARGINAL - JARDIM MILLENIUM I,SN
4118402,01.02.473.0310,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.473.0285,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.473.0260,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.473.0236,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.475.0078,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.473.0211,1081 - IDALINA LEONARDO SORDE,SN
4118402,01.02.475.0174,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0186,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0198,1082 - PROJETADA C - JARDIM MILLENIUM I,SN
4118402,01.02.475.0314,220 - GUERINO POMIN,1885
4118402,01.02.475.0344,220 - GUERINO POMIN,SN
4118402,01.02.140.0040,223 - 15 DE NOVEMBRO,90
4118402,01.04.422.0074,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.422.0110,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.422.0122,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.422.0146,1092 - PROJETADA F - JARDIM BURITI,SN
4118402,01.04.422.0326,1092 - PROJETADA F - JARDIM BURITI,SN
4118402,01.04.138.0119,33 - TIRADENTES,848
4118402,01.06.064.0420,272 - GABRIEL ESPERIDIAO,590
4118402,01.06.155.0859,713 - MANOEL RAMOS DE ARAUJO,S/N
4118402,01.04.422.0098,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.02.119.0302,224 - OTAVIO BORIN,2574
4118402,01.04.425.0296,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0062,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.425.0072,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.425.0236,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0122,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0049,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0245,1089 - HAKUO ONAKA,SN
4118402,01.04.423.0235,1089 - HAKUO ONAKA,SN
4118402,01.04.423.0225,1089 - HAKUO ONAKA,SN
4118402,01.04.423.0195,1089 - HAKUO ONAKA,SN
4118402,01.04.423.0185,1089 - HAKUO ONAKA,SN
4118402,01.04.425.0226,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0216,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0142,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.425.0206,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0174,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0029,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0079,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0215,1089 - HAKUO ONAKA,SN
4118402,01.04.423.0099,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.423.0142,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.424.0209,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0266,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.426.0246,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.426.0122,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0132,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0216,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.427.0015,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0130,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.424.0029,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0039,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0069,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0079,1089 - HAKUO ONAKA,328
4118402,01.04.424.0119,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0129,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0149,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0179,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0229,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0274,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0052,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0092,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0102,1089 - HAKUO ONAKA,SN
4118402,01.04.426.0286,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.427.0166,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.424.0239,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0354,1090 - VALERIA ROMANINI,SN
4118402,01.04.424.0343,1090 - VALERIA ROMANINI,SN
4118402,01.04.424.0307,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0026,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0038,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0062,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0096,1090 - VALERIA ROMANINI,SN
4118402,01.04.427.0154,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.428.0034,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.428.0064,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.430.0015,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
4118402,01.04.430.0063,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
4118402,01.04.432.0036,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.432.0141,1094 - GERCOLINO ANTONIO DE AZEVEDO,SN
4118402,01.04.430.0210,1089 - HAKUO ONAKA,SN
4118402,01.04.431.0014,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
4118402,01.04.431.0084,1091 - PIONEIRO JOAO ROMANINI,72
4118402,01.04.431.0120,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.431.0185,1090 - VALERIA ROMANINI,SN
4118402,01.04.431.0197,1090 - VALERIA ROMANINI,SN
4118402,01.04.431.0245,1090 - VALERIA ROMANINI,SN
4118402,01.04.432.0056,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.432.0066,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.432.0096,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.432.0086,1091 - PIONEIRO JOAO ROMANINI,SN
4118402,01.04.430.0230,1089 - HAKUO ONAKA,SN
4118402,01.04.424.0370,1090 - VALERIA ROMANINI,SN
4118402,01.04.429.0014,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
4118402,01.04.429.0024,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
4118402,01.04.429.0179,1089 - HAKUO ONAKA,SN
4118402,01.04.429.0447,1101 - PR 218 (TRECHO PARANAVAI - GRACIOSA),SN
4118402,01.04.429.0307,1090 - VALERIA ROMANINI,SN
4118402,01.04.429.0264,1089 - HAKUO ONAKA,SN
4118402,01.04.429.0221,1089 - HAKUO ONAKA,SN
4118402,01.04.429.0211,1089 - HAKUO ONAKA,SN
4118402,01.04.425.0082,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.425.0266,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0256,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.04.425.0102,1088 - PIONEIRO MANOEL GARCIA,SN
4118402,01.04.425.0246,1087 - PROJETADA A - JARDIM BURITI,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.02.404.0165,332 - BENEDICTO PÍCOLE,SN
4118402,01.06.127.0368,342 - COSMO DAMIANI JACOVOZZI,SN
4118402,01.06.127.0344,342 - COSMO DAMIANI JACOVOZZI,SN
4118402,01.06.127.0308,342 - COSMO DAMIANI JACOVOZZI,SN
4118402,01.04.429.0231,1089 - HAKUO ONAKA,SN
4118402,01.04.430.0027,1093 - TEREZA LAURITA BENHUKA ROAMANINI,SN
