id_quadra,id_quadra_logradouro,cd_logradouro,nm_logradouro,nr_ui,qt_logradouros
01.04.039,"{'01.04.039_GENERAL ANDRADE NEVES', '01.04.039_PADRE ANTONIO VIEIRA', '01.04.039_FELIPE DOS SANTOS', '01.04.039_TIRADENTES'}","{'32', '19', '18', '33'}","{'GENERAL ANDRADE NEVES', 'TIRADENTES', 'PADRE ANTONIO VIEIRA', 'FELIPE DOS SANTOS'}","{809.0, 69.28571428571429, 335.0, 751.0}",4
01.04.038,"{'01.04.038_GENERAL ANDRADE NEVES', '01.04.038_PADRE ANTONIO VIEIRA', '01.04.038_FELIPE DOS SANTOS', '01.04.038_FARROUPILHA'}","{'32', '31', '19', '18'}","{'FARROUPILHA', 'GENERAL ANDRADE NEVES', 'PADRE ANTONIO VIEIRA', 'FELIPE DOS SANTOS'}","{186.5, 929.7777777777778, 370.0, 867.1666666666666}",4
01.04.037,"{'01.04.037_FARROUPILHA', '01.04.037_RIACHUELO', '01.04.037_PADRE ANTONIO VIEIRA', '01.04.037_GENERAL ANDRADE NEVES'}","{'31', '19', '18', '30'}","{'FARROUPILHA', 'GENERAL ANDRADE NEVES', 'RIACHUELO', 'PADRE ANTONIO VIEIRA'}","{130.33333333333334, 85.42857142857143, 998.6666666666666, 1015.5714285714286}",4
01.04.174,"{'01.04.174_CARLOS GOMES', '01.04.174_VOLUNTARIO DA PATRIA', '01.04.174_EUCLIDES DA CUNHA', '01.04.174_TAMBOARA'}","{'11', '36', '55', '5'}","{'TAMBOARA', 'EUCLIDES DA CUNHA', 'CARLOS GOMES', 'VOLUNTARIO DA PATRIA'}","{41.0, 1282.0, 778.6666666666666, 966.7}",4
01.04.034,"{'01.04.034_VEREADOR FUED ABDALLA TAPXURE', '01.04.034_ARISTIDES LOBO', '01.04.034_GENERAL ANDRADE NEVES', '01.04.034_INDEPENDENCIA'}","{'19', '23', '58', '34'}","{'GENERAL ANDRADE NEVES', 'INDEPENDENCIA', 'VEREADOR FUED ABDALLA TAPXURE', 'ARISTIDES LOBO'}","{nan, 701.4, 424.0, 672.0}",4
01.04.033,"{'01.04.033_INDEPENDENCIA', '01.04.033_OSCARLINO CARVALHO DUARTE', '01.04.033_ARISTIDES LOBO', '01.04.033_GENERAL ANDRADE NEVES'}","{'19', '23', '35', '34'}","{'GENERAL ANDRADE NEVES', 'INDEPENDENCIA', 'OSCARLINO CARVALHO DUARTE', 'ARISTIDES LOBO'}","{617.75, 140.33333333333334, 821.6, 437.3333333333333}",4
01.04.032,"{'01.04.032_ARISTIDES LOBO', '01.04.032_GENERAL ANDRADE NEVES', '01.04.032_EUCLIDES DA CUNHA', '01.04.032_OSCARLINO CARVALHO DUARTE'}","{'36', '19', '23', '35'}","{'GENERAL ANDRADE NEVES', 'OSCARLINO CARVALHO DUARTE', 'EUCLIDES DA CUNHA', 'ARISTIDES LOBO'}","{112.33333333333333, 516.1111111111111, 748.2857142857143, 269.6666666666667}",4
01.04.031,"{'01.04.031_HERCILIO LUZ', '01.04.031_ARISTIDES LOBO', '01.04.031_EUCLIDES DA CUNHA', '01.04.031_GENERAL ANDRADE NEVES'}","{'36', '19', '23', '44'}","{'GENERAL ANDRADE NEVES', 'HERCILIO LUZ', 'EUCLIDES DA CUNHA', 'ARISTIDES LOBO'}","{344.0, 463.0, 708.0, 295.2}",4
01.04.030,"{'01.04.030_ARISTIDES LOBO', '01.04.030_DR VICENTE MACHADO', '01.04.030_EUCLIDES DA CUNHA', '01.04.030_HERCILIO LUZ'}","{'36', '24', '23', '44'}","{'HERCILIO LUZ', 'DR VICENTE MACHADO', 'EUCLIDES DA CUNHA', 'ARISTIDES LOBO'}","{391.8, 601.3333333333334, 278.3333333333333, 711.8}",4
01.04.029,"{'01.04.029_DR VICENTE MACHADO', '01.04.029_OSCARLINO CARVALHO DUARTE', '01.04.029_EUCLIDES DA CUNHA', '01.04.029_ARISTIDES LOBO'}","{'36', '24', '23', '35'}","{'OSCARLINO CARVALHO DUARTE', 'DR VICENTE MACHADO', 'EUCLIDES DA CUNHA', 'ARISTIDES LOBO'}","{59.333333333333336, 725.2, 750.7142857142857, 191.8}",4
