,id_quadra_logradouro,id_quadra,cd_logradouro,nm_logradouro
5113,01.01.077_INDUSTRIAL ANTONIO FACHIN,01.01.077,86,INDUSTRIAL ANTONIO FACHIN
3066,01.01.078_ANTONIO FELIPPE,01.01.078,92,ANTONIO FELIPPE
5232,01.01.078_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.078,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
9820,01.01.078_ETTORE GIOVINE,01.01.078,106,ETTORE GIOVINE
21619,01.01.078_Getúlio Vargas,01.01.078,1,Getúlio Vargas
19174,01.01.079_ANTONIO FELIPPE,01.01.079,92,ANTONIO FELIPPE
19176,01.01.079_DR SYLVIO VIDAL COELHO LEITE RIBEIRO,01.01.079,107,DR SYLVIO VIDAL COELHO LEITE RIBEIRO
19177,01.01.079_Getúlio Vargas,01.01.079,1,Getúlio Vargas
9818,01.01.080_ANTONIO FELIPPE,01.01.080,92,ANTONIO FELIPPE
13337,01.01.080_DISTRITO FEDERAL,01.01.080,75,DISTRITO FEDERAL
31435,01.01.080_PARA,01.01.080,108,PARA
47250,01.01.081_DISTRITO FEDERAL,01.01.081,75,DISTRITO FEDERAL
10566,01.01.081_Getúlio Vargas,01.01.081,1,Getúlio Vargas
14593,01.01.082_ANTONIO FELIPPE,01.01.082,92,ANTONIO FELIPPE
7768,01.01.082_Getúlio Vargas,01.01.082,1,Getúlio Vargas
9197,01.01.082_MINAS GERAIS,01.01.082,111,MINAS GERAIS
7772,01.01.082_PARAIBA,01.01.082,109,PARAIBA
9821,01.01.083_ANTONIO FELIPPE,01.01.083,92,ANTONIO FELIPPE
7702,01.01.083_Getúlio Vargas,01.01.083,1,Getúlio Vargas
3014,01.01.083_MINAS GERAIS,01.01.083,111,MINAS GERAIS
7696,01.01.083_SOUZA NAVES,01.01.083,114,SOUZA NAVES
9827,01.01.084_Getúlio Vargas,01.01.084,1,Getúlio Vargas
4342,01.01.084_PARANA,01.01.084,98,PARANA
8954,01.01.084_SOUZA NAVES,01.01.084,114,SOUZA NAVES
8693,01.01.085_ANTONIO FELIPPE,01.01.085,92,ANTONIO FELIPPE
8694,01.01.085_PARANA,01.01.085,98,PARANA
113,01.01.086_AMAPA,01.01.086,116,AMAPA
