OSM_ID;SC_ID_LOGRADOURO;NOM_LOGRADOURO;OSM_NOM_LOGRADOURO;WKT
250565820;7CE46E23;RUA GUARANIS;Rua Guarani;LINESTRING (-53.810379 -25.6532896, -53.8108146 -25.6547103, -53.8112258 -25.6560524, -53.8116652 -25.6574455, -53.8120691 -25.6588255, -53.8124978 -25.6602386, -53.8129301 -25.6616082, -53.8130119 -25.6618388, -53.8132551 -25.6628436, -53.813598 -25.6640823, -53.8139879 -25.6652869)
342633176;7CE46E23;RUA GUARANIS;Rua Guarani;LINESTRING (-53.7992185 -25.6856387, -53.7990654 -25.6851139, -53.7986474 -25.6837435, -53.7986239 -25.6836289)
1363392182;5A5B8F0F;RUA JOAO FRANCISCO TOSCAN;Rua João Francisco Toscan;LINESTRING (-53.8001594 -25.6537611, -53.799659 -25.6538895, -53.7991704 -25.6540211)
250954691;27AE0E78;RUA LEOPOLDO SCHMIDT;Rua Leopoldo Schmidt;LINESTRING (-53.8013302 -25.6851144, -53.8007504 -25.6832188, -53.8007144 -25.6831037, -53.8003164 -25.6817297, -53.7999785 -25.6806195, -53.7999361 -25.6804818, -53.7995228 -25.6791355, -53.7991435 -25.6778745, -53.7987578 -25.6766678, -53.7985773 -25.676103, -53.7985279 -25.6760135, -53.7979463 -25.6755587)
250954679;736565AB;RUA LUIZ GERALDO HOLEN;Rua Luiz Geraldo Hollen;LINESTRING (-53.8054966 -25.67985, -53.8053082 -25.6792759, -53.8052646 -25.6791365, -53.8050805 -25.6784658, -53.8048796 -25.6777825, -53.8045026 -25.6765563, -53.8041704 -25.6753502, -53.8037628 -25.6741023, -53.8034485 -25.6730924, -53.803409 -25.6729671, -53.8030548 -25.6718456, -53.8030183 -25.6717299, -53.8027037 -25.6707312, -53.8023198 -25.6694972, -53.8019614 -25.6682929, -53.801589 -25.6670528, -53.8012737 -25.666103)
148759005;5C81EDF2;RUA MARANHAO;Rua Maranhão;LINESTRING (-47.188417 -1.1831268, -47.1884418 -1.1825141, -47.1884586 -1.1819006)
250565850;5C81EDF2;RUA MARANHAO;Rua Maranhão;LINESTRING (-53.8037077 -25.6594097, -53.8050355 -25.659103, -53.8061923 -25.6588025, -53.806335 -25.6587672, -53.8076601 -25.6584386, -53.8087601 -25.6581658, -53.8089164 -25.6581271, -53.8089745 -25.6581127, -53.8103197 -25.6577791, -53.8116652 -25.6574455, -53.8129877 -25.6571136, -53.814003 -25.656829, -53.8147295 -25.6566684)
250954682;A8B4E8F4;RUA MARTINS NOTTAR;Rua Martins Nottar;LINESTRING (-53.8148423 -25.6675681, -53.8141769 -25.6677478, -53.8135034 -25.6679329, -53.8120961 -25.6683525, -53.8107974 -25.6686947, -53.809407 -25.6690607)
250411533;4A6E811F;RUA MATO GROSSO;Rua Mato Grosso;LINESTRING (-53.7987578 -25.6766678, -53.7990834 -25.676589, -53.7999447 -25.6763839, -53.8017362 -25.6759574, -53.8026831 -25.6757306, -53.8027935 -25.6757049, -53.8041704 -25.6753502, -53.8055127 -25.6750052, -53.8068978 -25.6746403, -53.8070228 -25.6746097, -53.8071854 -25.6745586, -53.8082623 -25.6743065)
250954684;4A6E811F;RUA MATO GROSSO;Rua Mato Grosso;LINESTRING (-53.7987578 -25.6766678, -53.796645 -25.6772172, -53.7954791 -25.6775208, -53.7943823 -25.6778049)
491358210;4A6E811F;RUA MATO GROSSO;Rua Mato Grosso;LINESTRING (-53.7870475 -25.6796274, -53.7874441 -25.6795319, -53.7879953 -25.6793992, -53.7885623 -25.6792626, -53.789152 -25.6791206, -53.789722 -25.6789833, -53.790293 -25.6788458, -53.7908745 -25.6787058)
