NOM_LOGRADOURO,SC_ID_LOGRADOURO
"RUA MINAS GERAIS",6B8E7F2D
"RUA NATALINO CENSI",00CA9275
"RUA NOSSA SENHORA DO CARMO",A0D16BC1
"RUA OIAPOS",8BF75653
"RUA OITO",58A0CD27
"RUA OLIVIO ERNESTO CAPORAL",36EA1B86
"RUA OTAVIO FRANCISCO DE MATTOS",E544EA7B
"RUA OTAVIO KISCHNER",9E705E10
"RUA OTILIA GUAITANELE",BD85F163
"RUA OTILIA ROYER",9D3B8882
"RUA PACURI",E7CB32DA
"RUA PADRE CIRILO",4245F20E
"RUA PALMAS",311068AC
"RUA PALMITAL",56F174F5
"RUA PARA",EF2B51D7
"RUA PARA CAPANEMA",C25F6F32
"RUA PARA PORTO BUSATO",5AB02184
"RUA PARAIBA",C44485D3
"RUA PARAISO",70258BC4
"RUA PARIS",F0E109ED
"RUA PAVAO",2B307776
"RUA PERNAMBUCO",C7998C13
"RUA PERNANBUCO",8039F6C3
"RUA PEROBA",AF461825
"RUA PIAUI",3020980C
"RUA PITANGUEIRAS",7FA530A0
"RUA PR",74BB577B
"RUA PR 167",10EA1601
"RUA PR 267",12ACA858
"RUA PRESIDENTE CASTELO BRANCO",34165D5B
"RUA PRESIDENTE VARGAS",97C73020
"RUA PRINCIPAL",06F85EF9
"RUA PROJETADA",CDA81288
"RUA PROJETADA 2",1C69C97E
"RUA PROJETADA F",4B017C5B
"RUA PROLONGAMENTO ALAGOAS",F78883A0
"RUA PROLONGAMENTO RUA ALAGOAS",F9DACF64
"RUA PROLONGAMENTO RUA DIONISIO WON",FBC4AD3B
"RUA RII DE JANEIRO",B9D6FDC2
"RUA RIO DE JANEIRO",56EB5822
"RUA RIO GRANDE DO NORTE",90AD120A
"RUA RISSIERI DEMICHEI",FCD67B02
"RUA RODOVIA CAPANEMA CAMBUI",F3D9CEBB
"RUA ROMEO PEDRALLI",CEECD919
"RUA SADI BIGATON",8BBF3941
"RUA SAIDA PARA BOA VISTA",F3EA4161
"RUA SANGA ALEGRE",36080365
"RUA SANGA AZUL",3214B8E9
"RUA SANTA CATARINA",F54DE0AF
"RUA SANTA TEREZINHA",C05DCBF4
"RUA SANTO ANTONIO",61A1EDEF
"RUA SEIS",A018EC37
"RUA SEM DENOMINACAO",25E21517
"RUA SEM DENOMINACAO 01",294C79AB
"RUA SEM DENOMINACAO 03",C7421887
"RUA SEM DENOMINACAO 04",59268D24
"RUA SEM DENOMINACAO 05",2E21BDB2
"RUA SEM DENOMINACAO 06",B728EC08
"RUA SEM DENOMINACAO 08",5090C10F
"RUA SETE",ABA0357A
"RUA SETE DE SETEMBRO",19E6282C
"RUA TAMOIOS",7473D9A5
"RUA TAPAJOS",0E9A43FC
"RUA TARUMA",577EC69A
"RUA TELMO CHIAMENTI",3C3D93DB
"RUA TERRITORIO DO ACRE",BA0CEFE3
"RUA TERRITORIO FERNANDO DE NORONHA",40C98730
"RUA TERRITORRIO DO ACRE",57260491
"RUA TIBIRICA",F1BF0D5A
"RUA TRES PASSOS",12C905A8
"RUA TUPA",4950AFAE
"RUA TUPI",478B279C
"RUA TUPINAMBAS",B6AB9351
"RUA UBIRAJARAS",4793AAEF
"RUA VALDIR BERFT",19AAB698
"RUA VERDE",B1B9A006
"RUA VICENTE CAPELETTI",4AE8C6C8
"RUA VIOLETA",345FF5D9
"RUA ZEMIRO BAZZANELLA",CC01E58D
"TRAVESSA 10",869C6E87
"TRAVESSA DONA TEREZA",24E6F2F0
"TRAVESSA FERNANDO GIACOMO BIGATON",481D9267
"TRAVESSA IGUACU",2BF1461E
"TRAVESSA IRMUT KRUGER",2194437D
"TRAVESSA JOSE BRANDAO",135150D6
"TRAVESSA MARFIM",4E3BAF48
"TRAVESSA MARIA FIAMETTI",C66A97C7
"TRAVESSA MOACIR ROCHA",75D1106E
"TRAVESSA N 03",D0FD92EF
"TRAVESSA N 04",4E99074C
"TRAVESSA N 05",399E37DA
"TRAVESSA N 09",30287BF1
"TRAVESSA NELSON NIZER",7D532ED5
"TRAVESSA PEDRO DE ROSS",5801195F
"TRAVESSA PROFESSOR VALDELIRIO MICHEL",493DFDEC
"TRAVESSA SEIS",8FDDB781
"TRAVESSA SEM DENOMINACAO 01",CA0BC588
"TRAVESSA TOCANTINS",ACFB1D73
"TRAVESSA UM",A9B9CDA5
"TRAVESSA WERNER BLADT",AB91C261
