quadras.id,quadras.codigo_ibge_municipio,quadras.codigo_cartografico,quadras.geometria
428885,4104501,01.05.004.0.0060,"POLYGON((-53.81218719219811 -25.668309054626654, -53.81255188355021 -25.668218011015366, -53.8129352306629 -25.669479136226737, -53.81257053595388 -25.669570181081497, -53.81218719219811 -25.668309054626654))"
428886,4104501,01.04.002.12.0413,"POLYGON((-53.78003167277037 -25.68912263002154, -53.78044302338729 -25.68945016640669, -53.77978577795962 -25.690127840194375, -53.779374426437414 -25.68980030202295, -53.78003167277037 -25.68912263002154))"
428893,4104501,01.04.002.3.0116,"POLYGON((-53.79242249521192 -25.688127122472284, -53.79249697274845 -25.688370910835246, -53.79142445820594 -25.688638312989305, -53.791350026340204 -25.688394667164417, -53.79242249521192 -25.688127122472284))"
428894,4104501,01.05.004.0.0054,"POLYGON((-53.813668966012884 -25.6679328423504, -53.814196804754324 -25.667801063322017, -53.81489082942696 -25.670084123298125, -53.81436298188977 -25.6702159055853, -53.813668966012884 -25.6679328423504))"
428895,4104501,01.03.002.4.0095,"POLYGON((-53.80881463521405 -25.67585059237877, -53.809981031555125 -25.67612088787238, -53.810060345516725 -25.676381811666314, -53.809916377905445 -25.67641774842453, -53.80881463521405 -25.67585059237877))"
428896,4104501,01.04.002.12.0294,"POLYGON((-53.7909369502627 -25.67855116119997, -53.791176901874714 -25.678491299462166, -53.79085980160063 -25.677447549672, -53.79061985232868 -25.677507410606776, -53.7909369502627 -25.67855116119997))"
428897,4104501,01.04.002.4.0099,"POLYGON((-53.81121426148454 -25.679095087217327, -53.811722955856425 -25.678968104735997, -53.81226298018141 -25.679114022231605, -53.81129358070227 -25.679356009855834, -53.81121426148454 -25.679095087217327))"
428898,4104501,02.06.005.11.0012,"POLYGON((-53.880949045407505 -25.612707202201133, -53.88157011649853 -25.611642329051737, -53.882101346945056 -25.612295912892243, -53.88133337356383 -25.613856222353906, -53.880949045407505 -25.612707202201133))"
428905,4104501,01.04.001.1.0068,"POLYGON((-53.803884715057215 -25.66253675574576, -53.804239815487406 -25.663705323350012, -53.803999890302926 -25.663765206494247, -53.80375996484119 -25.66382508926298, -53.803884715057215 -25.66253675574576))"
428913,4104501,01.03.002.4.0051,"POLYGON((-53.80658205688738 -25.67902976418371, -53.80572107188761 -25.680273960988345, -53.805654981710234 -25.680056522152007, -53.805650487588245 -25.680041736309118, -53.80658205688738 -25.67902976418371))"
428920,4104501,01.04.002.3.0127,"POLYGON((-53.79588634609881 -25.68762993245313, -53.79633750313878 -25.687517369147308, -53.796630518754874 -25.688481576028547, -53.79617935853552 -25.688594140508986, -53.79588634609881 -25.68762993245313))"
428921,4104501,01.06.003.4.0015,"POLYGON((-53.81323613043015 -25.681289824594376, -53.81452011658002 -25.681437164291076, -53.81465233067345 -25.681872030963728, -53.813368339754874 -25.681724692845197, -53.81323613043015 -25.681289824594376))"
428928,4104501,01.04.004.1.0017,"POLYGON((-53.80599270025187 -25.657464408097493, -53.80714427312982 -25.65717695507937, -53.80751430199828 -25.658394616065205, -53.80636271888907 -25.658682072871034, -53.80599270025187 -25.657464408097493))"
428929,4104501,01.04.002.12.0411,"POLYGON((-53.77890751384465 -25.688738263298454, -53.779406864799114 -25.68862141974878, -53.77902781073876 -25.689001095992865, -53.77843152444548 -25.68903848531815, -53.77890751384465 -25.688738263298454))"
428930,4104501,01.06.003.0.0004,"POLYGON((-53.81183712896251 -25.672563727947747, -53.811136867563356 -25.673487129188807, -53.81089692786851 -25.673547024974365, -53.81084405233718 -25.673373076028557, -53.81183712896251 -25.672563727947747))"
428942,4104501,01.01.002.0.0022,"POLYGON((-53.80557869379934 -25.67507150698457, -53.80682641116804 -25.674760087928075, -53.80685977253079 -25.674869850894964, -53.80589591088457 -25.676115214843318, -53.80557869379934 -25.67507150698457))"
428943,4104501,01.06.002.3.048B,"POLYGON((-53.79517239665535 -25.680233313698285, -53.79565176134648 -25.680111737043074, -53.79623094704436 -25.68031333782637, -53.79575158234783 -25.680434916403375, -53.79517239665535 -25.680233313698285))"
428944,4104501,01.06.003.0.0021,"POLYGON((-53.8149304889039 -25.670214583682306, -53.815025227796774 -25.67146029355986, -53.814832629878 -25.671760818370007, -53.81474635616029 -25.671477023590793, -53.8149304889039 -25.670214583682306))"
