"CODIGO_CARTOGRAFICO";"FACE";"DIMENSAO_M";"LAT_CENTROIDE";"LNG_CENTROIDE";"SC_ID_LOGRADOURO";"NOM_LOGRADOURO";"CI_ID_FACE";"centroide"
"01.06.004.1.0013";1;119.77;-25.655952166666665;-53.81205466666667;"EF2B51D7";"RUA PARA";"4104501;01.06.004.1.0013;EF2B51D7";0
"01.06.004.1.0013";2;140.38;-25.656358302727273;-53.81262038636363;"478B279C";"RUA TUPI";"4104501;01.06.004.1.0013;478B279C";0
"01.06.004.1.0013";3;119.77;-25.6574554075;-53.8111797225;"5C81EDF2";"RUA MARANHAO";"4104501;01.06.004.1.0013;5C81EDF2";0
"01.06.004.1.0013";4;140.39;-25.656728228051765;-53.81153246681407;"7CE46E23";"RUA GUARANIS";"4104501;01.06.004.1.0013;7CE46E23";0
"01.04.001.1.0116";1;38.43;-25.653919027804562;-53.79994794101337;"5A5B8F0F";"RUA JOAO FRANCISCO TOSCAN";"4104501;01.04.001.1.0116;5A5B8F0F";0
"01.04.001.1.0116";2;100.28;-25.6543078121262;-53.800264793812005;"2A0F502E";"RUA DORVAL BENATTI";"4104501;01.04.001.1.0116;2A0F502E";0
"01.04.001.1.0116";3;38.43;-25.65478880419245;-53.800212185898445;"22C42DE6";"RUA ALVERINO BENATTI";"4104501;01.04.001.1.0116;22C42DE6";0
"01.04.001.1.0116";4;100.28;-25.654400019870813;-53.79989533309981;"8C38F4BF";"RUA DAS PEROBAS";"4104501;01.04.001.1.0116;8C38F4BF";0
"01.04.002.12.0285";1;42.42;-25.67896158126574;-53.790041942522464;"4A6E811F";"RUA MATO GROSSO";"4104501;01.04.002.12.0285;4A6E811F";0
"01.04.002.12.0285";2;120.33;-25.679432573275278;-53.79040446233398;"5CCA62A7";"RUA ARARUNA";"4104501;01.04.002.12.0285;5CCA62A7";0
"01.04.002.12.0285";3;42.42;-25.68000533291179;-53.790359041191344;"6B8E7F2D";"RUA MINAS GERAIS";"4104501;01.04.002.12.0285;6B8E7F2D";0
"01.04.002.12.0285";4;120.33;-25.679534340902247;-53.78999652137983;"E7CB32DA";"RUA PACURI";"4104501;01.04.002.12.0285;E7CB32DA";0
